name,hp,average_price,age,converted_retreat_cost,pokedex_nr,type,damage,converted_energy_cost,resistance,weakness
Ampharos,130,1.87,6048,3,181,8,70,3.0,150,160
Caterpie,50,1.85,1682,1,10,7,20,1.0,50,100
Azumarill,80,6.04,7143,1,184,11,20,2.0,80,160
Celebi & Venusaur-GX,270,12.19,1938,4,3,7,127,3.6666666666666665,270,540
Blastoise,130,10.0,5580,2,9,11,10,1.0,130,160
Altaria,80,11.28,7486,1,334,1,15,1.0,110,160
Weedle,40,0.06,1938,1,13,7,5,0.5,40,80
Alolan Exeggutor,160,1.68,1682,3,103,7,20,1.0,160,320
Kakuna,80,0.18,3396,3,14,7,20,1.0,80,160
Venusaur & Snivy-GX,270,5.03,1665,3,3,7,80,2.0,270,540
Caterpie,50,0.03,2483,1,10,7,20,1.0,50,100
Ampharos,130,7.74,5927,3,181,8,70,3.0,150,160
Snivy,60,0.16,4777,1,495,7,10,2.0,80,120
Chansey,120,9.59,8855,1,113,1,40,2.0,150,240
Celebi,70,2.16,4950,1,251,10,15,1.0,70,140
Dark Crobat,90,10.62,7143,1,169,7,0,0.0,120,180
Weedle,60,0.05,1336,1,13,7,0,0.0,60,120
Butterfree,130,0.54,3669,1,12,7,35,1.5,150,260
Weedle,50,0.06,1938,1,13,7,20,1.0,50,100
Metapod,80,0.09,2666,3,11,7,20,1.5,80,160
Magmar,80,2.32,1682,2,126,6,40,1.5,80,160
Charizard,130,43.89,6048,3,6,6,120,4.0,150,170
Alakazam,80,54.99,9266,3,65,10,30,3.0,80,160
Altaria,70,13.67,7051,1,334,1,25,1.5,100,140
Ho-Oh,80,26.0,6293,2,250,6,40,3.0,80,160
Shuckle,80,0.09,2943,1,213,7,15,1.0,80,160
Ampharos,100,34.94,7799,2,181,8,35,2.0,100,200
Alakazam,80,25.88,8855,3,65,10,30,3.0,80,160
Articuno,70,33.21,8992,2,144,11,40,3.5,100,70
Brock's Rhydon,80,11.96,8683,3,112,5,70,4.0,110,160
Banette,70,2.13,6505,1,354,10,30,2.0,100,140
Caterpie,60,0.05,1735,1,10,7,10,1.0,60,120
Clefable,80,1.63,4852,1,36,1,20,1.0,80,160
Blaziken,110,3.91,6962,2,257,6,30,2.0,110,220
Surskit,50,0.06,3935,1,283,7,0,0.0,50,100
Deoxys,70,7.14,6962,1,386,10,30,2.0,70,140
Drifblim FB,80,2.9,5391,2,426,10,0,0.0,100,160
Gloom,80,0.05,3207,1,44,7,20,2.0,80,160
Masquerain,80,0.5,3935,1,284,7,60,3.0,80,160
Cradily,100,4.68,6686,2,346,7,17,1.0,100,200
Tangrowth,130,0.05,2850,4,465,7,95,3.5,130,260
Crawdaunt,80,2.28,7486,2,342,11,50,3.0,80,160
Dragonair,70,3.08,4248,2,148,3,45,2.5,70,140
Venonat,60,0.05,3487,1,48,7,20,2.0,60,120
Pinsir,80,0.45,4488,2,127,7,35,1.5,80,160
Oddish,50,0.15,4215,1,43,7,15,1.5,70,100
Exeggcute,50,0.04,2302,1,102,7,20,1.0,50,100
Tangela,80,0.05,2029,2,114,7,30,2.5,80,160
Aggron,140,2.03,4950,4,306,9,50,3.5,160,280
Weedle,50,0.04,3396,1,13,7,0,0.0,50,100
Ampharos,130,1.88,5580,2,181,8,50,2.5,150,160
Bulbasaur,60,0.32,1875,1,1,7,0,0.0,60,120
Dratini,40,1.1,4248,1,147,3,20,2.0,40,80
